,Unnamed: 0,date,url,title,dates2,month,year,Unnamed: 6,Unnamed: 7
202,225,"julio 31, 2019",https://lopezobrador.org.mx/2019/07/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-132/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-07-31,7,2019,,
204,227,"agosto 2, 2019",https://lopezobrador.org.mx/2019/08/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-134/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-08-02,8,2019,,
214,237,"agosto 16, 2019",https://lopezobrador.org.mx/2019/08/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-142/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-08-16,8,2019,,
217,240,"agosto 21, 2019",https://lopezobrador.org.mx/2019/08/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-145/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-08-21,8,2019,,
231,254,"septiembre 11, 2019",https://lopezobrador.org.mx/2019/09/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-157/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-09-11,9,2019,,
232,255,"septiembre 12, 2019",https://lopezobrador.org.mx/2019/09/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-158/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-09-12,9,2019,,
278,301,"noviembre 21, 2019",https://lopezobrador.org.mx/2019/11/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-201/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-11-21,11,2019,,
291,314,"diciembre 10, 2019",https://lopezobrador.org.mx/2019/12/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-214/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-12-10,12,2019,,
294,317,"diciembre 13, 2019",https://lopezobrador.org.mx/2019/12/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-217/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-12-13,12,2019,,
299,322,"diciembre 20, 2019",https://lopezobrador.org.mx/2019/12/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-221/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-12-20,12,2019,,
300,323,"diciembre 23, 2019",https://lopezobrador.org.mx/2019/12/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-222/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2019-12-23,12,2019,,
317,340,"enero 21, 2020",https://lopezobrador.org.mx/2020/01/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-239/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-01-21,1,2020,,
323,346,"enero 29, 2020",https://lopezobrador.org.mx/2020/01/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-245/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-01-29,1,2020,,
324,347,"enero 30, 2020",https://lopezobrador.org.mx/2020/01/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-246/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-01-30,1,2020,,
335,358,"febrero 14, 2020",https://lopezobrador.org.mx/2020/02/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-257/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-02-14,2,2020,,
459,483,"agosto 17, 2020",https://lopezobrador.org.mx/2020/08/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-362/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-17,8,2020,,
463,487,"agosto 21, 2020",https://lopezobrador.org.mx/2020/08/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-aguascalientes/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Aguascalientes,2020-08-21,8,2020,,
508,532,"octubre 28, 2020",https://lopezobrador.org.mx/2020/10/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-406/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-28,10,2020,,
511,535,"noviembre 3, 2020",https://lopezobrador.org.mx/2020/11/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-409/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-11-03,11,2020,,
515,539,"noviembre 9, 2020",https://lopezobrador.org.mx/2020/11/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-413/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-11-09,11,2020,,
565,590,"enero 21, 2021",https://lopezobrador.org.mx/2021/01/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-463/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2021-01-21,1,2021,,
592,617,"marzo 15, 2021",https://lopezobrador.org.mx/2021/03/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-489/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2021-03-15,3,2021,,
